,Year,Country,Gold,Silver,Bronze,Medal
0,1976,Bulgaria,8,13,18,39
1,1976,Cuba,6,4,14,24
2,1976,Czechoslovakia,2,4,9,15
3,1976,Denmark,3,0,5,8
4,1976,East Germany,99,51,42,192
5,1976,Finland,4,2,0,6
6,1976,France,5,7,8,20
7,1976,Hungary,14,6,35,55
8,1976,Italy,2,25,4,31
9,1976,Jamaica,1,1,0,2
10,1976,Japan,25,6,10,41
11,1976,"Korea, North",1,1,0,2
12,1976,"Korea, South",1,1,15,17
13,1976,Mexico,1,0,1,2
14,1976,New Zealand,17,1,9,27
15,1976,Norway,2,4,0,6
16,1976,Poland,18,29,26,73
17,1976,Romania,4,28,23,55
18,1976,Soviet Union,113,93,79,285
19,1976,Sweden,9,1,0,10
20,1976,Switzerland,1,3,6,10
21,1976,Trinidad and Tobago,1,0,0,1
22,1976,United Kingdom,6,15,11,32
23,1976,United States,63,56,36,155
24,1976,West Germany,21,24,30,75
25,1976,Yugoslavia,2,14,3,19
26,1980,Australia,5,2,5,12
27,1980,Austria,1,3,1,5
28,1980,Belgium,1,0,0,1
29,1980,Brazil,4,0,5,9
30,1980,Bulgaria,8,46,40,94
31,1980,Cuba,8,7,5,20
32,1980,Czechoslovakia,18,18,16,52
33,1980,Denmark,4,2,2,8
34,1980,East Germany,112,87,61,260
35,1980,Ethiopia,2,0,2,4
36,1980,Finland,3,1,5,9
37,1980,France,18,5,6,29
38,1980,Greece,1,0,4,5
39,1980,Hungary,8,13,40,61
40,1980,India,16,0,0,16
41,1980,Italy,8,21,8,37
42,1980,Poland,3,25,22,50
43,1980,Romania,7,15,50,72
44,1980,Soviet Union,192,127,123,442
45,1980,Spain,2,19,3,24
46,1980,Sweden,3,6,9,18
47,1980,Switzerland,2,0,0,2
48,1980,United Kingdom,5,18,22,45
49,1980,Yugoslavia,13,27,17,57
50,1980,Zimbabwe,16,0,0,16
51,1984,Australia,7,14,29,50
52,1984,Austria,1,1,1,3
53,1984,Belgium,1,2,2,5
54,1984,Brazil,1,34,2,37
55,1984,Canada,19,35,32,86
56,1984,China,26,13,37,76
57,1984,Finland,4,2,6,12
58,1984,France,21,16,31,68
59,1984,Italy,29,6,28,63
60,1984,Japan,10,8,31,49
61,1984,Kenya,1,0,2,3
62,1984,"Korea, South",6,29,7,42
63,1984,Mexico,2,3,1,6
64,1984,Morocco,2,0,0,2
65,1984,Netherlands,20,6,14,40
66,1984,New Zealand,16,1,6,23
67,1984,Pakistan,16,0,0,16
68,1984,Portugal,1,0,2,3
69,1984,Romania,40,31,35,106
70,1984,Spain,2,14,3,19
71,1984,Sweden,3,18,11,32
72,1984,United Kingdom,9,20,43,72
73,1984,United States,168,115,50,333
74,1984,West Germany,31,74,52,157
75,1984,Yugoslavia,47,5,35,87
76,1988,Australia,18,6,10,34
77,1988,Austria,1,0,0,1
78,1988,Brazil,1,22,5,28
79,1988,Bulgaria,10,14,17,41
80,1988,Canada,4,5,12,21
81,1988,China,6,16,31,53
82,1988,Czechoslovakia,3,4,3,10
83,1988,Denmark,3,1,3,7
84,1988,East Germany,75,52,47,174
85,1988,Finland,1,1,2,4
86,1988,France,12,4,13,29
87,1988,Hungary,20,9,15,44
88,1988,Italy,11,10,8,29
89,1988,Japan,4,3,13,20
90,1988,Kenya,5,2,2,9
91,1988,"Korea, South",28,37,12,77
92,1988,Morocco,1,0,2,3
93,1988,Netherlands,3,5,36,44
94,1988,New Zealand,4,4,16,24
95,1988,Norway,2,21,0,23
96,1988,Poland,2,9,10,21
97,1988,Portugal,1,0,0,1
98,1988,Romania,8,30,13,51
99,1988,Soviet Union,134,65,95,294
100,1988,Spain,1,2,2,5
101,1988,Suriname,1,0,0,1
102,1988,Turkey,1,1,0,2
103,1988,United Kingdom,22,16,15,53
104,1988,United States,77,64,52,193
105,1988,West Germany,32,37,44,113
106,1988,Yugoslavia,15,27,21,63
107,1992,Algeria,1,0,1,2
108,1992,Australia,14,27,16,57
109,1992,Brazil,13,1,0,14
110,1992,Bulgaria,3,7,7,17
111,1992,Canada,27,5,12,44
112,1992,China,18,46,19,83
113,1992,Cuba,44,13,14,71
114,1992,Czechoslovakia,4,3,1,8
115,1992,Denmark,3,2,9,14
116,1992,Estonia,1,0,2,3
